    "rms[Rho]"    ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       
      -1.141477701,       4.288293712,      0.1352226892,       0.239165324
      -1.143227322,       4.287036448,       0.134335035,      0.2386241078
      -1.144589816,       4.286595862,      0.1334472583,      0.2381037235
      -1.142670487,       4.290938194,      0.1324995531,      0.2370980215
      -1.145289391,       4.288731249,      0.1316372248,       0.236444306
      -1.148856231,       4.284458383,      0.1307368211,      0.2356450495
       -1.15309274,       4.279465682,      0.1298344283,      0.2347936693
      -1.155488905,       4.276819618,      0.1289831359,      0.2342163934
      -1.157668745,       4.275371842,       0.128091091,      0.2336756676
       -1.15996444,       4.273569496,      0.1272928704,      0.2328988472
      -1.163320578,       4.269460028,      0.1264715573,      0.2320648187
      -1.165932612,        4.26711551,      0.1256374294,      0.2313571606
      -1.167543592,       4.266273162,      0.1247967608,      0.2305931139
      -1.170784575,       4.262255445,      0.1239351484,      0.2298075016
      -1.175640164,       4.255753917,      0.1231341323,      0.2289869115
      -1.176346119,       4.256142155,      0.1222636487,      0.2278960563
      -1.179541145,       4.252525485,      0.1214643558,      0.2270475479
      -1.179419108,       4.254206644,      0.1205847623,      0.2258044707
      -1.180641015,       4.253853034,      0.1197468445,      0.2248461401
      -1.181386867,       4.254074272,      0.1188603009,       0.223702012
      -1.187580839,       4.245615433,      0.1180161168,      0.2227578833
       -1.18776096,       4.246945317,      0.1171955341,      0.2216889234
      -1.189207844,       4.245773429,       0.116382206,      0.2205980024
      -1.194382813,       4.238702998,      0.1155990595,        0.21964942
      -1.200109169,       4.231084563,      0.1147867595,      0.2184531313
      -1.202247453,       4.229203812,      0.1140232811,      0.2174322809
      -1.200749343,       4.232848723,      0.1132472124,      0.2163087331
      -1.201352975,       4.233479218,      0.1124334396,      0.2150178686
      -1.201356286,       4.234723999,      0.1116601274,      0.2138861335
      -1.203254591,       4.232677284,       0.110868801,      0.2127136563
      -1.205230902,       4.230756634,      0.1100401266,      0.2112713632
      -1.208369287,       4.226880792,      0.1092423615,      0.2099375159
      -1.205947583,       4.231440492,      0.1084355118,      0.2086065863
      -1.211273184,       4.224240577,      0.1075827842,      0.2072291503
      -1.216221807,       4.217811851,       0.106795131,      0.2060407689
      -1.218460331,       4.215898804,      0.1060243483,      0.2047351298
      -1.217353868,       4.219017884,       0.105222642,      0.2035269882
       -1.21830645,       4.219422202,      0.1044421155,      0.2023817731
       -1.21855628,       4.220475779,      0.1036045793,      0.2012406667
      -1.223724639,       4.213443478,      0.1028530126,      0.2001700441
      -1.222848808,        4.21442568,      0.1021098959,      0.1989215151
      -1.230447129,       4.204894124,      0.1013399999,      0.1977621467
      -1.228944058,       4.208322268,      0.1005496548,      0.1968590913
      -1.231625269,       4.205681099,     0.09980950573,      0.1956828009
      -1.231141705,       4.207663117,      0.0990373405,       0.194373336
      -1.236347725,       4.200968083,     0.09831178324,      0.1931804954
      -1.242576725,       4.193338162,     0.09758430126,       0.192028732
      -1.240788317,        4.19812683,     0.09684457901,      0.1908514897
      -1.242014667,       4.197736523,      0.0961223424,       0.189685682
      -1.248103609,       4.189950526,     0.09539926415,      0.1883370495
      -1.252537492,       4.184797254,     0.09468649045,      0.1869901139
      -1.253171704,       4.185466734,     0.09401554128,      0.1857749672
      -1.255689834,       4.182683327,      0.0933362787,      0.1845443717
      -1.251250151,       4.189148548,     0.09265306056,      0.1833605562
      -1.257238243,       4.183390348,     0.09198556642,      0.1822448654
      -1.254137385,       4.187903256,     0.09130979382,      0.1810449697
      -1.262550624,       4.176565535,     0.09062882457,        0.17979204
      -1.264650632,       4.175632134,     0.08993977234,      0.1785661545
      -1.266118285,       4.174649975,      0.0892722767,      0.1774746201
      -1.269580251,       4.170982119,     0.08862759348,      0.1765067239
      -1.270683828,       4.170307119,     0.08799504242,      0.1756418399
      -1.276085945,        4.16353198,     0.08735536331,      0.1748004744
       -1.27874839,       4.160445463,     0.08671044791,      0.1738983338
      -1.280336311,       4.159792257,     0.08607694789,      0.1729650895
      -1.279180936,       4.162888178,     0.08544732087,      0.1719112856
      -1.280167665,       4.162877691,     0.08481642475,      0.1707559151
      -1.285692702,       4.155919676,     0.08417233378,      0.1696190499
      -1.284162691,        4.15960968,     0.08353570211,      0.1684154827
      -1.285244801,       4.159335915,     0.08290445517,      0.1670621978
      -1.286044365,       4.159473164,     0.08228264823,      0.1656165861
       -1.29582318,       4.146642027,     0.08164698838,      0.1641845805
      -1.298469242,       4.143872816,     0.08100600543,      0.1626808936
      -1.302493266,        4.13912623,     0.08037609303,       0.161107654
      -1.300430707,       4.144265362,     0.07975011446,       0.159562379
      -1.297032981,       4.150458752,     0.07910365234,      0.1578562416
      -1.300648924,       4.146063286,      0.0784953815,      0.1563692447
      -1.311077498,       4.131352759,     0.07789279268,      0.1548472312
        -1.3111228,       4.132785128,     0.07729882581,      0.1532743342
      -1.307332676,       4.138924989,     0.07671168455,      0.1515707601
       -1.30956999,       4.137443486,     0.07613574274,      0.1499332848
      -1.317153312,       4.127645203,     0.07555398731,      0.1482786442
      -1.317918177,       4.126196249,     0.07496935005,      0.1466446651
      -1.320419134,        4.12467989,     0.07438414762,      0.1450555879
      -1.318373741,       4.129219881,     0.07380588387,      0.1433536685
      -1.314835327,       4.133963232,     0.07323329237,      0.1415174013
      -1.320765551,       4.126888728,     0.07266288029,      0.1396501795
      -1.330074955,       4.114225148,     0.07209686537,      0.1377554533
      -1.324847057,       4.121821664,     0.07153426188,      0.1357807713
      -1.331473102,       4.114319626,     0.07096495208,      0.1338885866
      -1.330376559,       4.117387918,     0.07039829432,      0.1318334584
      -1.325330233,       4.124257792,     0.06981990348,      0.1298861122
      -1.331335946,       4.117986573,     0.06923241922,      0.1278206393
      -1.336173433,       4.109885064,       0.068648244,      0.1259232833
      -1.341010102,       4.105963053,     0.06804989448,       0.124001579
      -1.341178172,       4.105284965,     0.06742635102,      0.1221529053
      -1.343877787,       4.104837509,     0.06681442759,      0.1202321086
      -1.342515228,        4.10687831,      0.0661815696,      0.1184330937
      -1.347788081,       4.100469538,     0.06553260197,      0.1165966373
      -1.356252134,       4.089157271,     0.06485639725,      0.1146980685
      -1.359403122,       4.085582824,     0.06415196826,      0.1126817654
      -1.361701311,       4.083336423,     0.06342230661,      0.1105964899
      -1.357101506,       4.091199555,     0.06267533723,      0.1085999451
      -1.357801271,       4.090920807,     0.06189936245,      0.1066387813
      -1.360709338,       4.087294313,     0.06108249458,      0.1047371772
      -1.366906097,       4.079249863,     0.06021639154,      0.1027893803
       -1.36791629,       4.078792059,      0.0593067861,      0.1007539819
      -1.370851866,       4.075257418,     0.05834415473,     0.09873060426
      -1.370090523,       4.077390756,     0.05732110617,     0.09675856249
      -1.373721771,       4.073055754,     0.05622364588,     0.09482190559
      -1.373956326,       4.073653663,     0.05505083659,     0.09292493066
       -1.37929017,       4.066585021,     0.05380517853,     0.09107805649
      -1.382485218,       4.062836403,     0.05247297534,     0.08924397193
      -1.385989528,       4.058844201,     0.05104627846,     0.08745443866
      -1.385554897,       4.060776313,     0.04950985712,     0.08569054709
      -1.388720607,       4.057127892,     0.04787035004,     0.08401398553
      -1.391628388,        4.05374749,     0.04612418598,     0.08237002382
      -1.398960739,       4.043628914,     0.04426073985,     0.08075702881
      -1.400697742,       4.041722653,      0.0422750901,     0.07914172078
      -1.401505119,       4.041131981,     0.04016172363,     0.07756535009
      -1.400750808,       4.043307305,     0.03793161478,     0.07604532869
      -1.403170892,       4.040514441,     0.03555268615,     0.07466580191
      -1.405288066,       4.038028608,     0.03304477138,     0.07321959542
      -1.413206549,        4.02684053,     0.03038426185,     0.07179889136
      -1.413242384,       4.027390445,     0.02758254995,     0.07033252184
      -1.415337642,       4.025278779,     0.02461347326,     0.06887945388
      -1.414348334,       4.027971661,     0.02149830115,     0.06733348942
      -1.417274405,       4.024639105,     0.01820902102,     0.06580433365
      -1.421783853,        4.01873261,     0.01476826125,     0.06428590715
      -1.427358731,       4.011217466,     0.01114925129,      0.0626745182
      -1.427738516,       4.011724666,    0.007377223408,     0.06115186876
      -1.429984215,       4.009301488,    0.003428865894,     0.05954253539
      -1.432689633,       4.005958406,  -0.0006738991287,      0.0578886378
      -1.437073636,       4.000064466,   -0.004910245248,     0.05625396753
      -1.438911767,       3.998102552,   -0.009305799207,     0.05458322732
      -1.440947995,       3.995831332,    -0.01383830676,     0.05290569866
      -1.442414013,       3.994180657,      -0.018510075,     0.05118770362
      -1.444359398,       3.991994616,    -0.02330641054,     0.04950343349
      -1.446712694,       3.988928522,    -0.02825448786,     0.04779658711
      -1.449223124,       3.985578094,    -0.03342468664,     0.04581378532
      -1.450207396,       3.984608837,    -0.03870436703,     0.04372615688
      -1.452425689,       3.981927304,    -0.04406697915,     0.04159674235
      -1.454233149,       3.979749334,     -0.0495374439,      0.0393967867
      -1.455478241,       3.978061865,     -0.0550391407,     0.03722685978
      -1.457566365,       3.975403617,    -0.06058209553,     0.03487186239
      -1.462057929,       3.969790344,     -0.0661908745,     0.03229027999
       -1.46506593,       3.965962714,    -0.07188007217,     0.02962488044
      -1.466765118,       3.963900614,    -0.07763770989,     0.02694796314
      -1.468558249,       3.961770112,    -0.08347552213,     0.02406044612
      -1.472240011,       3.956820794,    -0.08937899358,     0.02104108588
      -1.474586878,       3.953602502,    -0.09533813138,     0.01785850844
      -1.477376152,       3.949994007,      -0.101239256,     0.01495663281
      -1.480777758,       3.945627496,     -0.1071184446,     0.01210212866
       -1.48387543,       3.941627935,     -0.1129888665,    0.009178449922
      -1.486871985,       3.937677417,     -0.1188288133,    0.006233731358
      -1.489868967,       3.933754553,     -0.1246189731,    0.003271126531
      -1.492606413,       3.930198784,     -0.1303709258,   0.0002241752588
      -1.495287241,       3.926656931,     -0.1360444206,   -0.002879967546
        -1.4976133,       3.923560734,     -0.1416328081,   -0.006014265834
       -1.49981451,        3.92059418,     -0.1471300297,   -0.009213585101
       -1.50168128,       3.918016825,     -0.1525277044,    -0.01251050585
       -1.50336389,       3.915632171,     -0.1578835436,    -0.01614540039
        -1.5038806,        3.91478469,     -0.1631603847,    -0.02001782723
      -1.506521168,       3.911204511,     -0.1682335227,     -0.0236176303
       -1.50804649,       3.908956478,        -0.1731569,    -0.02715942549
      -1.510079899,        3.90633222,     -0.1779385235,    -0.03081747961
      -1.511966941,       3.903724879,      -0.182523909,    -0.03430094008
      -1.514021222,       3.900966045,     -0.1869309498,    -0.03795408839
      -1.515900416,       3.898314029,     -0.1911168225,    -0.04148122506
      -1.518159076,       3.895265798,     -0.1950373006,    -0.04499172775
      -1.520153626,        3.89246262,     -0.1987496936,    -0.04850182586
      -1.522180858,       3.889624621,     -0.2021862527,    -0.05203864247
      -1.524272678,       3.886615961,     -0.2053539152,    -0.05558624686
      -1.526524551,       3.883475004,     -0.2082741205,      -0.059158499
      -1.528813118,        3.88016628,     -0.2109157883,    -0.06275001838
      -1.531212842,       3.876755863,     -0.2132391724,    -0.06613808166
      -1.533645575,       3.873276729,     -0.2153019843,    -0.06960263023
      -1.536088075,       3.869847675,     -0.2170749373,    -0.07302043247
      -1.538620028,       3.866177232,     -0.2184855629,    -0.07613047119
      -1.541316791,       3.862422634,     -0.2195762403,    -0.07909268205
      -1.543960904,       3.858717418,     -0.2203809495,    -0.08198244216
      -1.546659111,       3.855001697,     -0.2209147671,    -0.08492446931
      -1.549176906,       3.851378059,     -0.2211792959,    -0.08790658639
      -1.550922857,       3.849170594,     -0.2211669005,     -0.0908022661
      -1.549429842,       3.851403304,     -0.2208828835,    -0.09365745888
      -1.554354365,       3.844566771,     -0.2203316501,    -0.09650467118
       -1.55516616,       3.843489877,     -0.2195039382,     -0.0993726963
       -1.56243146,       3.833243353,     -0.2184148168,     -0.1022404823
      -1.562472301,       3.833060951,     -0.2170700578,     -0.1049994687
      -1.568544645,       3.824754526,     -0.2154628503,     -0.1076748868
      -1.565484687,       3.829138192,      -0.213570635,     -0.1102264942
      -1.570035421,       3.823172713,     -0.2113906738,     -0.1124996756
      -1.570660835,       3.822013551,     -0.2089565325,     -0.1147239563
      -1.577076428,       3.813113836,     -0.2062363662,     -0.1168730765
      -1.582262005,       3.805444023,     -0.2032591178,     -0.1189084378
